t|b
招聘 学生 兼职|伯尔尼 洲 奢侈品 商店 招聘 学生 兼职 。 要求 德语 ， 中文 流利 。 有意者 请 站 内 信 联系 。 谢谢
洛桑 附近 中餐馆 招 楼面|洛桑 附近 － Bussigny 中餐馆 招 有 证 楼面 一 名 。 要求 ： 最好 是 女性 。 包 吃 包住 （ 住 洛桑 火车站 附近 ） 。 可续 一 年 证件 。 最好 是 酒店 管理 专业 （ 即将 ） 毕业生 或 经验 丰富者 ， 工资 可 洽谈 。 联系 方式 ： 021 ／ 7012108 Lai ( 女士 ） 非诚勿扰 ， 谢谢 ～
parttime 教 中文 （ Zuerich )|" 大家 好 ， 我 有 一個 瑞士 朋友 想 找 人 交 他 中文 ， ( 目前 的 中文 水平 能 緩慢 的 說簡單 的 對話 ) 在 Zuerich ， 每 週末 2 小時 的 樣子 ， 價錢 大概 是 學生工資 ， 具體 再 跟 他 本人 商量 。 如果 需要 ， 同時 他 可教 你 德語 或 法 語 ...
要求 ：
1 ， UniZ 或 ETH 學生
2 ， 要 有 耐心 ， 所以 最好 是 女生
3 ， 普通 話標準
4 ， 有 教過 外國 人 中文 經驗 的 優先
有意者 請發站 內信 , 本人 最近 去 倫敦 出差 ， 可能 不 能 及時 回復 ， 不過 下周 2 ， 3 回來 一定 聯係 大家 ~ "
专业 导游 招聘|请问 还要 当 司机 吗 1#eht008
中餐馆 找 酒店 学生|" 在 苏黎世 中心区 ， 哪位 同学 要 找 实习 的 ， 可以 联系 我 。 。
对 了 ， 可以 给 我 站 内 发 短 信 。 。 。 "
找 零工 刷 墙 装 家具|找 零工 ， 刷 墙 装 家具 ， 10 瑞郎 每 小时 ， 在 NYON , 日内瓦 坐 火车 15 分钟 ， 包 车费 20 瑞郎 。 有意 请 联系 0763368190
招 一个 女生 楼面|找 一个 女生 , 工作 时间 11 月 26 日 到 12 月 4 号 中餐馆 , 要求 会 一点 德语 店 在 苏黎世 附近 的 一个 镇 . 包 吃住 . 工资 详谈 . 联系 电话 ; 0767897259 QQ ; 7534 4579
洛桑找 有 经验 楼面 一 名 + 加 帮厨 一 名|如 题 . 包 吃住 . 电话 .07 65591588
招 女 按摩师|兔 纸 ， 去 探 探路 ， 然后 给 大家 说 一下 感受 。 。 。
求 日内瓦 地区 翻译 陪同|" 诚聘 一 名 日内瓦 地区 的 法语 女性 翻译 ， 待遇 优厚 。
有意者 请 通过 站 内 短 信 联系 。 "
日内瓦 有份 小时 楼面 工|自己 找 了 全工 ， 我 的 小时工 想 替 老师 找 个人 ， 是 早上 11 点 到 14 点 . 有意 联系 老板 0774 168655 和 店 里 02279849 45
|
洛桑 郊区 招 楼面 一 名|洛桑 郊区 中餐 招 有 经验 楼面 一 名 ， 女 ， 要 会 收 碟 。 电话 004 1794 450268
[ 苏黎世 ] 招聘 翻译 --11 月 3 日 公务 活动 翻译|" 本 公司 11 月 3 日 上午 在 D ü bendorf 有 场 公务 活动 ， 招聘 翻译 ， 德语 或 英语 皆 可 。
有意者 请 联系 ： violaine ， email ： eht009@hotmail.com"
lausanne 中餐 要 酒店 管理 学生|" 本 帖 最后 由 visclou 于 2011-10-2823:16 编辑
你们 好 ， 有 一 家 中餐馆 正 找 女 服务生 ， 最 好 有 居住证 或 学生 身份 ， 能 做 全职 的 。 请 有 兴趣 了解 工作 待遇 细节 的 朋友 将 你 的 联系 方式 告诉 我 ， 我 会 尽快 联系 到 你 。 07883 13927 ， visclou@ yahoo.com 多谢 了 "
找 厨师 工作|本人 匈牙利 居留 , 在 中国 有 十几 年 的 厨师 工作 经验 , 如果 有人 需要 厨师 的 加 我 QQ 106 4323686 电话 0036305166768 谢谢
洛桑日 餐 招聘 ， 给 出 证件 ， 非 诚 勿 扰|" 洛桑 餐厅 找 有 证 日本 料理 厨师 ，
和 酒店 实习 男生 各 一 名 （ 给 出 工作 证件 ） ， 如果 证件 过期 了 很 长 时间 的 就 不行 了
请 联系 0765830617
或者 简历 到 ming@ taiyo.ch
非诚勿扰 "
招聘|" 帮 老板 发
11 月份 零时 工 ， 要求 会 一点 德语 ， 男女 不 限 ， 最好 是 女生 。 在 苏黎世 联系 电话 0767897259 "
lausanne 中餐 找 女服 务生|大家 好 ， 有 一 家 中餐馆 正在 找 女 服务生 ， 最 好 有 居住证 或 学生 身份 ， 做 全职 的 。 请 有 兴趣 了解 工作 待遇 细节 的 朋友 将 你 的 联系 方式 告诉 我 ， 我 会 尽快 联系 到 你 。 07883 13927 ， visclou@ yahoo.com 多谢
|
fille au pair|日内瓦 寻找 fille au pair , 有意者 请 联系 0774351252 ， 薪酬 面谈
替 人 发帖 - Montreux 教 中文|" 替 人 发帖 。
Montreux 住 的 一个 家庭 ， 有 个 8 岁 左右 的 女孩 想 要 学习 中文 。
最好 是 女 同学 ， 能 用 英语 或 法语 和 她 的 家长 交流 。
有 感 兴趣 的 朋友 ， 请 留下 电话 号码 ， 转给 她 的 家长 ， 薪 筹 请 与 他们 商议 。 "
luzern 中餐 招聘 临时工|" 餐馆 位于 卢塞恩 的 小镇 上 ， 现 需要 一 名 临时工 。 时间 方面 可以 灵活 调配 平时 或 周末 都 可以 ，
招聘 对象 不 限 男女 ， 有 基础 德语 水平 最 好 。 餐馆 提供 食宿 （ 独立 房间 ）
对 我们 这次 招聘 有 兴趣 的 的 朋友 可以 通过 一下 联系 方式 进行 咨询 ：
qq : 1120670303
电话 ： 076-3199788
email : changcheng-willisau@ hotmail.com
地址 ： hauptgasse 466130 willisau"
代 朋友 发帖|" 本 帖 最后 由 蒼霞 天涯 客 于 2011-10-1219:03 编辑
洛桑 火车站 咖啡厅 继续 招聘 楼面 男女 不 限 需有 有效 证件 具体 工作 时间 和 待遇 电话 详谈 联系 电话 0793767937 华人 老板 无 证 勿 扰谢谢 "
找 有 证 的 员工 。|找 有 学生证 或 工作证 的 楼面 ， 厨师 《 要求 会 炒 》 各 一 名 。 在 日内瓦 。 联系 电话 0 227551926
找 一个 月 的 临时工 ， 有 证 的 ， 楼面|找 有 证 的 楼面 一个 ， 会讲 中文 即 可 ， 包 吃 住 ， 工作 一个 月 2012 年 1 月份 ， 工资 1576 元 ， 在 日内瓦 ，，， ， 有意 的 站 内 信 联系 ， ， ，
partime|日内瓦 郊区 ， 找 星期 4 楼面 partime 。 每个 星期 4 都 有 ， ， 具体 电话 详 谈 0227551926
找 露面 工作 。|北方 人 ， 有 4 年 以上 的 工作 经验 ， 可以 独立 工作 ， 没有 合法 身份 ， 现 寻找 一 长久性 楼 、 面 工作 ， 有意 的 老板 或 有 消息 的 朋友 请 留下 消息 或 电话 ， 先 谢谢 了 。
瑞士 日内瓦 大型 会展 30 辆 奔驰 车队 招聘 多 名 司机 。|" 需要 合法 居留 ， 驾照 ， 熟练 驾驶 奔驰 9 座 商务 车 。 工作 时间 ： 2011 年 10 月 24-27 号 4 天 （ 需要 23 号 下午 15：00 之前 到达 日内瓦 ， 取 车 ， 晚上 统一 安排 聚餐 ） 工作 内容 ： 负责 日内瓦 机场 ， 酒店 ， 会场 之间 接送 。 着装 要求 ： 正 装 ， 深色 西裤 ， 白色 衬衫 ， 深色 皮鞋 ， 佩 领带 。 工资 800 瑞士 法郎 ， （ 约 合 650 欧元 左右 ） 包括 工作 期间 工资 ， 小费 ， 餐费 。 公司 负责 在 酒店 统一 安排 住宿 。 外地 司机 报销 日内瓦 往返 路费 。 联系 Email : Tiantan@ tiantan.ch 联系 电话 ： 064 2028261 ( 法国 )
0767 956 152 （ 瑞士 ） 联系 人 ： 王 先生 "
日内瓦 保姆|" 一女性 保姆 ， 最好 是 学生 ， 照 看 一10 岁 左右 大 女孩 ， 主要 是 下午 放学 带 回家 照看 到 早上 便 可 ， 价钱 可 商量 ， 时间 不 固定 ， 看 是否 家长 在家 。
有意者 ， 请 留下 电话 等 联系 方式 ， 或 站 内 留言 ， 留信 ， 谢谢 。 "
找 有 经验 的 帮厨|找 有 经验 的 帮厨 , 在 德区 , 请 站 内 短 信 留下 联系 方式 .
洛桑 火车站 酒 吧 找 楼面|" 本 帖 最后 由 蒼霞 天涯 客 于 2011-10-1015:16 编辑
人 已 找到 谢谢 本贴 无效 "
洛桑 火车站 酒 吧 找 楼面|" 本 帖 最后 由 蒼霞 天涯 客 于 2011-10-1015:18 编辑
人 已 找到 谢谢 本贴 无效 "
洛桑 火车站 酒 吧 找 楼面|" 本 帖 最后 由 蒼霞 天涯 客 于 2011-10-1015:19 编辑
人 已 找到 谢谢 本贴 无效 "
洛桑 火车站 酒 吧 找 楼面|" 本 帖 最后 由 蒼霞 天涯 客 于 2011-10-1015:19 编辑
人 已 找到 谢谢 本贴 无效 "
找 露面|法区 找 楼面 ， 会 法语 ， 有意者 电话 联系 0762886078.
找 厨房 打杂 一 名|如 题 . 没有 包住 要 自己 在 洛桑 有 地方 住 . 待遇 面谈 . 马上 就 可以 上班 .07 65591588.
找 保姆|找 个 女性 保姆 ， 照看 6 个 月 大 的 孩子 ， 一 星期 5 天 ， 有意者 请 来电 联系 ， 电话 号码 ： 0783053275 , 0788508823. 工资 面议
找 人 带 小孩|" 本 帖 最后 由 炽 天使 于 2011-9-2823:23 编辑
日内瓦市 中心 有 责任感 女性 全职 照看 三 周 岁 男孩 。
联系 电话 0765788851
有意者 请 与 每天 下午 的 两 点半 到 五点半 之间 来电 ， 谢谢 ！ "
诚聘 一 位 楼面|" 榕城 餐馆 诚聘 一 位 楼面 。
要求 男性 ， 会 法语 ， 有 餐馆 工作 经验 ， 能 独立 招待 客人 。
有意者 请 致电 ： 0767890734 （ 最 好 能 在 晚 8 点 前 打 ） "
招 保姆|帮 朋友 发 一个 招 保姆 的 信息 。 具体 的 情况 请 联系 0763296007 谢谢 。
寻 苏黎世 工作 导游|顶
需要 亚洲 男 群众 演员|为 一个 电视 连续剧 做 群众 演员 ， 地点 在 卢塞恩 ， 报酬 40 瑞郎 ， 需要 25 岁 以上 的 男 群众 演员 ， 有 兴趣 的 请 发 Email 申请 ， 需要 写 上 姓名 ， 年龄 ， 电话 ， 并 附上 一 张 照片 。 详情 请 看 附件 。
删|" 本 帖 最后 由 henry 5131111 于 2011-10-223:01 编辑
dddddddd "
找 楼面|本 店 想 找 一 名 长期 服务员 , 不要 很 会 做 的 , 基本 cafe ， 酒水 会 卖 的 就 可以 。 有意 着 请 联系 076 3268890
急 招人|大家 好 ， 我 店 想 招收 一 位 会 德语 ， 要求 会 一些 餐厅 的 基本 德语 就 好 ， 招呼 客人 热情 ， 有 美好 的 心态 就 行 ， 没经验 也 可以 ， 还有 就 是 一定 要 有 居留 。 工作 时间 是 每天 2 个 小时 。 如果 有 兴趣 可以 联系 与 我 ， 0792873799 静候 各位 的 佳音 ( s 2115a)
洛桑 找份工作|欢迎 来自 大马 的 妈妈 ！
|
[ 已 结束 ] 急聘 英语 翻译 ， 两 小时 200|" 本 帖 最后 由 epengfei 于 2011-9-1911:46 编辑
已 结束 ， 谢谢 关注 。 "
【 急 】 聘 日内瓦 商务 陪同 翻译 一 名|" 我司 是 一 家 总部 在 深圳 的 高级 时尚 品牌 运营商 ， 现 CEO 出访 欧洲 各国 会见 合作 伙伴 ， 需 招聘 瑞士 日内瓦 翻译 一 名 ， 时间 ： 9 月 21-22 日 ， 需 21 日 晚上 接机 ， 22 日 全天 陪同 以及 送机 。 要求 ： 英语 和 法语 均 非常 流利 ， 尤其 法语 需 非常 优秀 ， 需 之前 有 商务 谈判 经验 ， 懂 商务 礼仪 ， 形象 气质 佳 。
有意者 请 速将 中 英文 简历 投 至 int@copais.com.cn 并 请 附上 一 张 近照 ， 薪资 面议 ， 谢谢 。 "
法语 翻译|" 本 帖 最后 由 凌晨 二度 于 2011-9-2221:07 编辑
已 结束 "
招聘 大厨|" 多年 工作 经验 ， 会 包 些 简单 点心
地点 在 法 区瓦来州 西永 。
有意者 请 答复 。 。 "
预定 一 位 女性 教 小孩子 中文|找 一 位 女性 最 好 有 教学 经验 教 孩子 学 中文 ， 地址 在 洛桑 。
给 个 面子 看下 把|想 找 份 晚上 工时 间 9 点 到 1 点 这样 最 好 了 。 地点 最 好 也 是 在 日内瓦 嘻嘻 电话 076248670624 小时 开 机
中国 女性 清洁工 + 语言 辅导 ， 日内瓦 --- 已 找到|" 本 帖 最后 由 lengmeng 于 2011-9-1315:56 编辑
有人 找 讲 中文 的 女性 （ 最好 是 标准 普通话 ） 去 家里 带 孩子 + 打扫 卫生
3 个 小孩 6-7 岁
每天 工作 时间 为 下午 半 天 ， 或 17-19 点
价格 从 优 "
诚 找 保姆 , 提供 住宿|本人 22 岁 女 ， 家务 都 会 做 ， 不 知道 你 是否 想要
此 帖 已 删除|" 本 帖 最后 由 gv123 于 2011-9-1813:28 编辑
因 已 招到 人 ， 此 帖 删除 ， 谢谢 关注 。 "
日内瓦 中餐馆 现 招 1 名 服务员|日内瓦 中餐馆 招聘会 说 法语 的 服务员 一 名 和 实习 学生 1 名 ， 要 有 餐饮 经验 ， 详情 致电 〉 0797952459
此 帖 已 删除|" 本 帖 最后 由 gv123 于 2011-9-1215:01 编辑
因 电话 号码 问题 ， 此 帖 已 删除 "
寻找 蒙特勒 ( monteux ) 地区 法语 翻译 兼 导游 一 名|" 瑞士 导游 , 日内瓦 地 接 导游 ； cnfr@hotmail.com ； 0041-225-349-888
瑞士 中文 导游 , 日内瓦 地 接 导游 ， 欧洲 5 年 导游 经验 。 瑞士 导游 自带 奔驰 豪华 9 座车 ， 奔驰 5 座车 并 可以 租用 14 坐车 ， 工作 积极 热情 ， 服务 周到 。
奔驰 5 座 运动 旅行车 瑞士 境内 司机 兼 导游 ， 瑞士 境内 报价 如下 ：
提前 3 周 付款 7 折 优惠 ， 奔驰 5 座车 特价 280 欧元 / 天
提前 2 周 付款 8 折 优惠 ， 奔驰 5 座车 特价 320 欧元 / 天
提前 1 周 付款 9 折 优惠 ， 奔驰 5 座车 特价 360 欧元 / 天
1 周 之内 付款 无 优惠 ， 奔驰 9 座车 400 欧元 / 天
奔驰 9 座 商务 车 瑞士 境内 司机 兼 导游 ， 瑞士 境内 报价 如下 ：
提前 3 周 付款 7 折 优惠 ， 奔驰 9 座车 特价 350 欧元 / 天
提前 2 周 付款 8 折 优惠 ， 奔驰 9 座车 特价 400 欧元 / 天
提前 1 周 付款 9 折 优惠 ， 奔驰 9 座车 特价 450 欧元 / 天
1 周 之内 付款 无 优惠 ， 奔驰 9 座车 500 欧元 / 天
14 座 旅游 巴士 瑞士 境内 司机 兼 导游 ， 瑞士 境内 报价 如下 ：
提前 3 周 付款 7 折 优惠 ， 14 座车 特价 490 欧元 / 天
提前 2 周 付款 8 折 优惠 ， 14 座车 特价 560 欧元 / 天
提前 1 周 付款 9 折 优惠 ， 14 座车 特价 630 欧元 / 天
1 周 之内 付款 无 优惠 ， 14 座车 700 欧元 / 天
瑞士 导游 最 熟悉 的 景点 和 工作 范围 包括 ：
瑞士 导游 ： 日内瓦 导游 苏黎世 导游 巴塞尔 导游 洛桑 导游 伯尔尼 导游
法国 导游 ： 里昂 导游 巴黎 导游 勃朗峰 导游 霞 慕 尼 导游 依 云 导游 安 纳西 导游
联系方式 ：
邮件 : cnfr@hotmail.com （ 建议 邮件 联系 ， 工作日 当天 回复 ）
电话 : 0041-225-349-888
因为 瑞士 法郎 汇率 变化 ， 实时 报价 请 点击 以下 网址 ： http : //www.afatour.com/price"
招聘|本 店 需要 一 名 厨房 帮手 , 包 吃 包住 , 有意者 请 联系 0763662628
找 实习 的 学生 ， 在 德区|" 找 实习 的 学生 ， 德 区 ， 在 Aargau 州
联系 电话 078 704 6576
或 简历 发 到 info@asiagarden.ch "
餐厅 招聘|" 洛桑 餐厅
找 有 证件 的 厨师 一 名 ， 待遇 从 优
请 打电话 0765830617
或者 寄送 简历 到 takaaki@ live.cn "
找 帮 厨|" 本 帖 最后 由 ljf98423 于 2011-9-716:31 编辑
morges 地区 中餐馆 招聘 帮厨 一 名 要求 勤快 有 工作 经验 有意者 请 速 联系 （ 谢谢 大家 关注 已经 找到 人 了 ） "
伯尔尼 附近 中餐馆 找 厨师 替工|" 本 帖 最后 由 jerryzhang 于 2011-9-721:07 编辑
伯尔尼 附近 中餐馆 诚 请 会 炒 餐 的 厨师 替工 须 有 工 纸包 吃 住 待遇 从 优
联系 电话
0787081753 张 先生 "
招聘 楼面|本 帖 最后 由 沙弥 于 2011-9-714:58 编辑 招聘 楼面 要求 会 楼面 基本 德语 有 点 经验 ， 男女 不 限 但 女孩 最 好 。 要求 个人 就 是 生活 干净 ， 老实 勤 力 ， 工作 认真 。 因为 因为 老板 人 很 好 而且 我 要 离开 瑞士 了 所以 帮 老板 找个 人 来 代替 我 吧 。 联系 电话 0763060334 请 在 中午 2 点 到 4 点半 晚上 11 点 后 打 来 餐馆 在 圣加伦 STGALLEN 包 吃 住
9 月 20 日 10 点 至 12 点 ， Solothurn ， 急 寻 公务 翻译 一 名 ，|"9 月 20 日 10 点 至 12 点 ， Solothurn ， 急 寻 公务 翻译 一 名 ，
时间 ： 10.00- 12.00
内容 ： 城建 方面
要求 ： 德语 过硬
酬劳 ： 100
有意者 尽快 联系 ： windbird1949@ googlemail.com
或者
00 4917699003808"
（ 翻译 已经 找到 ， 谢谢 关注 ） 9 月 22 日 9 点 至 11 点 ， Ittigen ( Bern 附近 ）|" 本 帖 最后 由 windbird1949 于 2011-9-812:07 编辑
（ 翻译 已经 找到 ， 谢谢 关注 ）
9 月 22 日 9 点 至 11 点 ， Ittigen ( Bern 附近 ） ， 寻 公务 翻译 一 名 ，
时间 ： 09.00 - 11.00
内容 ： Vortrag und kurze Diskussion ， 自行车 竞赛 方面
要求 ： 德语 过硬 ， 英语 有 基础
酬劳 ： 100 "
找 一 位 住家 保姆|小 明 现在 需要 找 一 位 住家 保姆 ， 不 住家 也 可以 。 能 做 可口 的 饭菜 ， 能 吃苦耐劳 。 有意者 请 与 小明 联系 ， 电话 ： 041 － 787 1171
寻 2011 年 9 月 21 日 14 点 苏黎世 德语 翻译|" 时间 ： 2011 年 9 月 21 日 14 点
地点 ： 苏黎世
公务 内容 ： 职业 教育 培训
要求 ： 德语 翻译 ， 口语 流利 ， 表达 顺畅 ， 会 沟通
薪酬 ： 100 欧元
请 有意者 速 将 个人 简历 及 联系 方式 发 至 我们 的 邮箱 ： linz@hanson-international.com ， 我们 会 尽快 与 你 联系 ， 谢谢 ！ "
2011 年 9 月 27 日 或 28 日 Neuchatel 寻 法语 翻译|" 本 帖 最后 由 汉升 旅游 于 2011-9-516:51 编辑
时间 ： 2011 年 9 月 27 日 或 28 日 （ 具体 时间 待定 ）
地点 ： Neuchatel
公务 内容 ： 警察 培训
要求 ： 法语 翻译 ， 口语 流利 ， 表达 顺畅 ， 会 沟通
薪酬 ： 100 欧元
请 有意者 速 将 个人 简历 及 联系 方式 发 至 我们 的 邮箱 ： linz@hanson-international.com ， 我们 会 尽快 与 你 联系 ， 谢谢 ！ "
2011 年 9 月 23 日 14 点 Bern 寻 德语 翻译|" 时间 ： 2011 年 9 月 23 日 14 点
地点 ： Bern
公务 内容 ： 物价 监控
要求 ： 德语 翻译 ， 口语 流利 ， 表达 顺畅 ， 会 沟通
薪酬 ： 100 欧元
请 有意者 速 将 个人 简历 及 联系 方式 发 至 我们 的 邮箱 ： linz@hanson-international.com ， 我们 会 尽快 与 你 联系 ， 谢谢 ！ "
lausanne 中餐 招 酒店 女 学生|本 餐厅 位于 lausanne , 现 要 招收 一 名 实习生 做 服务 ， 有意者 请 写信 给 visclou@ yahoo.com
急 寻 翻译 9 月 2 日 更新|1#eht008
Aigle 一 中餐馆 招收 节日 帮手|" 替 友 发帖 。
Aigle 一 中餐馆 想 招收 一 名 节日 帮手 ， 时间 是 下 周五 至 下 周日 三 天 。 餐馆 可 提供 住宿 。 要求 会法语 。
具体 事宜 请 电话 咨询 老板娘 0763025398 ， 谢谢 大家 。 "
找 厨师 工作|本 人 在 中国 有 十几 年 的 厨师 工作 经验 ， 如 有 需要 厨师 加 QQ ； 510317608 电话 ； 003630516668 谢谢 ( s2144a)
finisheddddd|" 本 帖 最后 由 NYC 于 2011-8-2818:10 编辑
gonnnnn"
招聘 楼面 工作|本 店 招聘会 说 餐馆 基本 法语 楼面 一 名 和 实习 学生 2 名 ， 联系 电话 0789227007 孙
日内瓦 中餐馆 招聘 计时 服务员|" 再次 替 友 发帖 。
日内瓦 一 中餐馆 招聘 计时 服务员 ， 工作 时间 是 周 一 至 周五 中午 12:00-14:00 。 要求 会 基本 法语 和 英语 ， 学生 优先 。
详情 请 致电 老板娘
078 7518990 咨询 ， 谢谢 。 "
瑞士 天坛 旅行社|" 瑞士 天坛 旅行社
1 。 前台 销售 人员 ， 要求 中 英 法文 流利 ， 有 旅游 管理 和 机票 销售 经验 者 优先
2 。 酒店 管理 实习生 ， 要求 法文 或 英文 流利 ， 善于 沟通 ， 热心 好 学
3 。 全职 或 兼职 导游
工作 地点 日内瓦 或者 苏黎世
工作 方式 ： 100% 全职
薪金 ： 根据 能力 和 职能 面议
联系 人 ： 朱文彬
Tiantan Horizon S.A.
35 Rue Rothschild
1202 Gen è ve
Suisse
Tel : 0227321559
Fax : 0227321561
E-mail : zhuwenbin@ tiantan.ch
Website : http : //www.tiantan.ch
MSN : trevorzhu@ hotmail.com"
餐厅 招人|大家 好 ， 我 店 在 BERN 想 招收 一 位 小时工 ， 要求 会 一些 餐厅 的 基本 德语 就 好 ， 招呼 客人 热情 ， 有 美好 的 心态 就 行 ， 没经验 也 可以 ， 还有 就 是 一定 要 有 居留 。 工作 时间 是 从 每天 中午 11 点 到 1 点 结束 。 如果 有 兴趣 可以 联系 与 我 ， 本人 姓 林 0792873799 静候 各位 的 佳音
瑞士 资深 专业 旅游 公司 导游|本 帖 最后 由 SUNlight 于 2010-1-2511:30 编辑 瑞士 资深 专业 旅游 公司 导游 我 公司 位于 日内瓦 ， 是 欧洲 最 早 开始 接待 中国 团组 的 旅行社 之一 （ www.sunlightact.com ） 。 公司 每年 接待 数百 个 中国 团组 。 现 需要 增加 2-3 导游 （ 男 ） 。 要求 如下 ： - 综合 素质 好 ， 有 责任心 ， 热情 耐心 - 会 开车 ， 有 中国 驾照 或 欧洲 国家 驾照 - 能 用 英语 简单 对话 - 年龄 20 – 40 岁 ， 对 旅游 工作 有 兴趣 我 公司 提供 ： - 优厚 报酬 - 良好 的 工作 环境 ， 主要 在 瑞士 带 团 - 可以 帮助 解决 住房 问题 有意者 请 速 与 我们 联系 ： - 我 司 邮箱 ： info@sunlightact.com , 请 附上 您 的 简历 和 照片 - 电话 ： 004 1227 411826/66- 传真 ： 004 1227412074 瑞士 阳光 旅游 有限公司 Landy SUNLIGHT ACT S.AAffaires , Cooperation , Tourism10 , Avenue de S é cheron , 1202 Gen è ve , SwitzerlandTel : 004 1227 411826 Fax : 004 1227412074E-mail : info@sunlightact.com
全职 家政|能 给 个 电话 号码 不 ， 我 朋友 很 有 兴趣
会 开车 的 蚂蚁 帮帮忙 吧 ~ ~ 求 司机 一 名|" 本 帖 最后 由 nuanonuan 于 2011-8-1912:38 编辑
求 司机 一 名 ， 请 携带 瑞士 驾照
内容 ： 一起 去 租车 ， 然后 开车 搬家 从 伯尔尼 到 苏黎世 （ 可以 只 开车 不 搬家 ）
时间 ： 暂定 为 8 月 27 日 星期六 下午 , 具体 时间 和 薪金 可以 站 内 信 商议 "
餐馆 招 半 工|montreux 附近 餐馆 需要 晚上 的 员工 ， 17 点半 到 21 点半 。 有 兴趣 的 请 致电 0219603224
召 搬运工|召 搬运工 ， 周二26 号 开始 。 一星期 左右 ， 地点 在 沃洲 ， 包 吃 住 。 有意者 站 内 短 信 流电 话 。
招 厨房 帮 厨工|日内瓦 餐馆 找 厨房 帮工 ， 有 兴趣 的 电话 联系 ： 076 3218688
德区 找 实习 的 学生|" 德区 找 实习 的 学生 ， 在 AARGAU 州 ， 离 BERN 半 个 小时 火车 。
078 704 6576"
本帖 已 删除|" 本 帖 最后 由 gv123 于 2011-8-1522:52 编辑
本帖 已 删除 "
有 没有 石油 贸易 专业 找 工作 的 ？|请 跟 我 联系
已经 删除|" 本 帖 最后 由 NYC 于 2011-8-23 15:40 编辑
已经 删除 ， 谢谢 "
急 招 楼面 实习生|" 本 帖 最后 由 chen53 1531 于 2011-8-912:31 编辑
您好 ， 本 中餐厅 位于 鲁塞恩 （ Lucerne ) ， 急 招 一 位 酒 管 楼面 实习生 ， 男女 不 限 ， 有 包住 ， 如 有意 ， 请 联系 ： 0414409933
王 老板 "
7 月 起 找 实习 的 学生 ， 楼面 。|" 7 月 起 找 第二 年 实习 的 学生 ， 做 楼面 的 。
在 德区 。 电话 078 704 6576"
瑞士 天坛 旅行社|" 瑞士 天坛 旅行社
1 。 前台 销售 人员 ， 要求 中 英 法文 流利 ， 有 旅游 管理 和 机票 销售 经验 者 优先
2 。 酒店 管理 实习生 ， 要求 法文 或 英文 流利 ， 善于 沟通 ， 热心 好 学
3 。 全职 或 兼职 导游
工作 地点 日内瓦 或者 苏黎世
工作 方式 ： 100% 全职
薪金 ： 根据 能力 和 职能 面议
联系 人 ： 朱文彬
Tiantan Horizon S.A.
35 Rue Rothschild
1202 Gen è ve
Suisse
Tel : 0227321559
Fax : 0227321561
E-mail : zhuwenbin@ tiantan.ch
Website : http : //www.tiantan.ch
MSN : trevorzhu@ hotmail.com"
找 楼面 替工 , 5 个 小时 100|" 本 帖 最后 由 kk123 于 2011-8-222:29 编辑
找到 人 了 谢谢 "
苏黎世 中餐馆 招聘 实习生|" 苏黎世 中餐馆 招聘 实习生 。
距 班 霍夫 大街 13 分钟 的 车程
要求 男性 ， 提供 住宿 和 伙食 。 具体 内容 详谈 。
有意者 电话 ： 0443113322
联系 人 ： 徐 姐 "
招 大厨|新店 需 招聘 大厨 一 名 . 在 valais 州 . 有 意者 请 联系 : 0793331488 谢谢 !
找 厨师 工作|本人 匈牙利 居留 ， 在 中国 有 十几 年 的 厨师 工作 经验 ， 如 有 需要 厨师 ， 加 我 QQ 510317608 电话 0036305166768 谢谢
|
1|" 本 帖 最后 由 林 123123123 于 2011-8-300:48 编辑
找到 人 了 "
招聘|本 店 需要 一 名 女服务员 , 最少 2 年 工作 经验 , 会法 语 . 包 吃 包住 , 工资 面议 . 有 意者 请 联系 0763662628
洛桑找 有 经验 楼面 一 名|" 本 帖 最后 由 lam 于 2011-7-212:50 编辑
洛桑招 一 名 有 经验 . 会 法语 . 可以 自己 独立 的 楼面 一 名 . 有意 电 0765591588."
周末 part time|有 在 洛桑 什么 餐厅 啊 ！ 做 什么 的 一 小时 多少 钱 呢 。 1# jordan198281
招聘 8 月 2 日 巴塞尔 Basel 地区 翻译 工作|" 时间 ： 8 月 2 日 10:00-11:30
地点 ： 巴塞尔 Basel
翻译 内容 ： 关于 煤气 减压 及 释放 装置 ， 要求 翻译 德语 和 中文 流利 。
薪酬 ： 80 欧元
联系 方式 ： linz@hanson-international.com
电话 ： 00 491797599670 http : //www.eutravel4u.com"
日内瓦 中餐 招 楼面|8 月 日内瓦 中餐馆 招 楼面 ， 火车站 附近 ， 需要 有 经验 有 证 的 。 如 有意者 ， 请 直接 联系 老板 0797952459 。 谢谢
。 。 。|" 本 帖 最后 由 takaaki 于 2011-7-2523:45 编辑
。 。 。 人 满 "
日内瓦 中餐馆 现 招 1 名 服务员|日内瓦 中餐馆 现 招 1 名 服务员 ， 男女 不限 ， 要 有 工作 经验 ， 具体 情况 致电 〉 0797952459
会 开车 ， 有 无 居留 不 限 ， 法区|" 本 帖 最后 由 montreux123 于 2011-5-3121:18 编辑
一 天 200 ， 请 留 电话 "
瓦莱州 聘请 中餐 帮厨|" 现 招 中餐 帮厨 一 名 , 要求 会 做 点心 , 会 做 简单 的 菜
工资 面议
联系 电话 : 0765258981 "
